label,start,end,start_s,end_s,src,out
jab,1550,1613,25.83403303929822,26.884061478960017,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_124959341.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\jab\jab_PXL_20250430_124959341_000.mp4
roundhouse,1622,1729,27.034065541768847,28.817447177384917,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_124959341.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_124959341_001.mp4
cross,1734,1812,28.90078276783427,30.200817978844114,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_124959341.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\cross\cross_PXL_20250430_124959341_002.mp4
roundhouse,1818,1916,30.300820687383332,31.934198260190573,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_124959341.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_124959341_003.mp4
jab,1956,2022,32.60088298378537,33.70091277771677,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_124959341.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\jab\jab_PXL_20250430_124959341_004.mp4
roundhouse,2063,2190,34.384264619401435,36.50098861681491,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_124959341.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_124959341_005.mp4
jab,2242,2278,37.367678757488136,37.967695008723446,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_124959341.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\jab\jab_PXL_20250430_124959341_006.mp4
cross,2279,2314,37.984362126813316,38.56771125995876,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_124959341.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\cross\cross_PXL_20250430_124959341_007.mp4
roundhouse,2315,2396,38.58437837804863,39.934414943328086,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_124959341.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_124959341_008.mp4
knee,2982,3053,49.7013461439918,50.88471152837256,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_124959341.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\knee\knee_PXL_20250430_124959341_009.mp4
knee,3054,3135,50.901378646462426,52.251415211741886,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_124959341.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\knee\knee_PXL_20250430_124959341_010.mp4
knee,3136,3232,52.268082329831756,53.86812566645926,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_124959341.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\knee\knee_PXL_20250430_124959341_011.mp4
knee,3233,3316,53.88479278454913,55.26816358600832,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_124959341.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\knee\knee_PXL_20250430_124959341_012.mp4
knee,3317,3354,55.28483070409819,55.90151407342338,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_124959341.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\knee\knee_PXL_20250430_124959341_013.mp4
knee,3355,3406,55.91818119151325,56.768204214096606,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_124959341.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\knee\knee_PXL_20250430_124959341_014.mp4
knee,3407,3451,56.784871332186476,57.51822452814075,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_124959341.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\knee\knee_PXL_20250430_124959341_015.mp4
knee,3452,3556,57.53489164623062,59.26827192757708,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_124959341.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\knee\knee_PXL_20250430_124959341_016.mp4
knee,3557,3698,59.284939045666945,61.635002696338596,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_124959341.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\knee\knee_PXL_20250430_124959341_017.mp4
knee,3699,3748,61.651669814428466,62.46835860083208,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_124959341.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\knee\knee_PXL_20250430_124959341_018.mp4
knee,3749,3847,62.48502571892195,64.1184032917292,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_124959341.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\knee\knee_PXL_20250430_124959341_019.mp4
knee,20799,20928,346.6593891512024,348.8094473847956,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_124959341.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\knee\knee_PXL_20250430_124959341_020.mp4
knee,20929,20990,348.82611450288545,349.8428087063675,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_124959341.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\knee\knee_PXL_20250430_124959341_021.mp4
knee,20991,21089,349.8594758244574,351.49285339726464,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_124959341.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\knee\knee_PXL_20250430_124959341_022.mp4
knee,21090,21160,351.5095205153545,352.6762187816454,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_124959341.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\knee\knee_PXL_20250430_124959341_023.mp4
knee,21161,21250,352.69288589973524,354.1762594097337,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_124959341.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\knee\knee_PXL_20250430_124959341_024.mp4
knee,21251,21375,354.19292652782354,356.2596491709674,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_124959341.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\knee\knee_PXL_20250430_124959341_025.mp4
knee,21376,21416,356.27631628905726,356.9430010126521,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_124959341.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\knee\knee_PXL_20250430_124959341_026.mp4
teep,21499,21661,358.32637181411127,361.0264449446702,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_124959341.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\teep\teep_PXL_20250430_124959341_027.mp4
teep,21699,21742,361.6597954320852,362.3764815099496,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_124959341.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\teep\teep_PXL_20250430_124959341_028.mp4
teep,21754,21882,362.57648692702804,364.7098780425314,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_124959341.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\teep\teep_PXL_20250430_124959341_029.mp4
