label,start,end,start_s,end_s,src,out
jab,3213,3318,53.55093890967027,55.30096959299283,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\jab\jab_PXL_20250430_130356689_000.mp4
cross,3315,3367,55.25096871632647,56.11765057854336,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\cross\cross_PXL_20250430_130356689_001.mp4
jab,3268,3319,54.46762164855352,55.31763655188161,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\jab\jab_PXL_20250430_130356689_002.mp4
cross,3315,3366,55.25096871632647,56.10098361965457,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\cross\cross_PXL_20250430_130356689_003.mp4
jab,3419,3452,56.98433244076024,57.53434208409018,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\jab\jab_PXL_20250430_130356689_004.mp4
cross,3527,3575,58.78436400074916,59.5843780274109,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\cross\cross_PXL_20250430_130356689_005.mp4
jab,3610,3639,60.16772158851842,60.65106339629322,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\jab\jab_PXL_20250430_130356689_006.mp4
cross,3641,3682,60.68439731407079,61.36774262851103,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\cross\cross_PXL_20250430_130356689_007.mp4
jab,3717,3744,61.95108618961855,62.401094079615774,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\jab\jab_PXL_20250430_130356689_008.mp4
cross,3744,3788,62.401094079615774,63.13444027072237,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\cross\cross_PXL_20250430_130356689_009.mp4
jab,3789,3838,63.15110722961116,63.96778821516168,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\jab\jab_PXL_20250430_130356689_010.mp4
cross,3838,3879,63.96778821516168,64.65113352960192,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\cross\cross_PXL_20250430_130356689_011.mp4
jab,3888,3928,64.801136159601,65.46781451515245,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\jab\jab_PXL_20250430_130356689_012.mp4
cross,3928,3974,65.46781451515245,66.23449462403661,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\cross\cross_PXL_20250430_130356689_013.mp4
jab,4098,4139,68.30119752624611,68.98454284068634,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\jab\jab_PXL_20250430_130356689_014.mp4
cross,4140,4163,69.00120979957514,69.38454985401722,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\cross\cross_PXL_20250430_130356689_015.mp4
hook,4156,4211,69.26788114179571,70.18456388067897,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\hook\hook_PXL_20250430_130356689_016.mp4
jab,4937,4989,82.28477603393779,83.15145789615468,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\jab\jab_PXL_20250430_130356689_017.mp4
cross,4989,5012,83.15145789615468,83.53479795059675,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\cross\cross_PXL_20250430_130356689_018.mp4
hook,5012,5074,83.53479795059675,84.5681494017015,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\hook\hook_PXL_20250430_130356689_019.mp4
cross,5100,5149,85.00149033280995,85.81817131836048,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\cross\cross_PXL_20250430_130356689_020.mp4
cross,5149,5167,85.81817131836048,86.11817657835863,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\cross\cross_PXL_20250430_130356689_021.mp4
hook,5167,5211,86.11817657835863,86.85152276946523,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\hook\hook_PXL_20250430_130356689_022.mp4
jab,5211,5276,86.85152276946523,87.93487509723633,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\jab\jab_PXL_20250430_130356689_023.mp4
cross,5273,5288,87.88487422056998,88.13487860390177,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\cross\cross_PXL_20250430_130356689_024.mp4
hook,5288,5325,88.13487860390177,88.75155608278686,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\hook\hook_PXL_20250430_130356689_025.mp4
roundhouse,21258,21323,354.3062120578184,355.38956438558955,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_130356689_026.mp4
roundhouse,21328,21365,355.47289918003344,356.08957665891853,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_130356689_027.mp4
roundhouse,21366,21402,356.10624361780737,356.7062541378036,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_130356689_028.mp4
roundhouse,21403,21442,356.72292109669246,357.3729324933551,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_130356689_029.mp4
roundhouse,21443,21479,357.3895994522439,357.9896099722402,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_130356689_030.mp4
roundhouse,21480,21523,358.006276931129,358.7229561633468,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_130356689_031.mp4
roundhouse,21524,21560,358.7396231222356,359.3396336422319,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_130356689_032.mp4
roundhouse,21561,21599,359.35630060112067,359.98964503889454,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_130356689_033.mp4
roundhouse,21600,21635,360.0063119977833,360.58965555889085,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_130356689_034.mp4
roundhouse,21636,21677,360.6063225177796,361.2896678322199,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_130356689_035.mp4
roundhouse,21678,21715,361.3063347911087,361.92301226999376,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_130356689_036.mp4
roundhouse,21716,21760,361.93967922888254,362.67302541998913,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_130356689_037.mp4
roundhouse,22275,22352,371.25650924771406,372.5398650821506,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_130356689_038.mp4
roundhouse,22380,22515,373.0065399310366,375.2565793810228,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_130356689_039.mp4
roundhouse,22516,22573,375.2732463399116,376.2232629965724,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_130356689_040.mp4
roundhouse,22574,22703,376.2399299554612,378.3899676521146,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_130356689_041.mp4
roundhouse,22704,22786,378.40663461100337,379.77332523988383,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_130356689_042.mp4
roundhouse,22787,22806,379.7899921987726,380.10666441765954,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_130356689_043.mp4
roundhouse,22829,22889,380.4900044721017,381.4900220054288,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_130356689_044.mp4
roundhouse,22890,23000,381.5066889643176,383.3400544420841,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_130356689_045.mp4
roundhouse,23001,23104,383.3567214009729,385.07341816651785,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_130356689_046.mp4
roundhouse,23105,23187,385.0900851254066,386.4567757542872,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_130356689_047.mp4
roundhouse,23188,23287,386.4734427131759,388.1234716431658,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_130356689_048.mp4
roundhouse,23733,23939,395.55693530756446,398.9903288386544,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_130356689_049.mp4
roundhouse,23940,23978,399.0069957975432,399.640340235317,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_130356689_050.mp4
roundhouse,23979,24158,399.65700719420585,402.6403928352986,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_130356689_051.mp4
roundhouse,24159,24200,402.6570597941874,403.3404051086277,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_130356689_052.mp4
roundhouse,24201,24408,403.3570720675164,406.8071325574952,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_130356689_053.mp4
roundhouse,24409,24449,406.82379951638393,407.4904778719354,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_130356689_054.mp4
roundhouse,24450,24690,407.5071448308242,411.5072149641329,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_130356689_055.mp4
roundhouse,24691,24781,411.5238819230217,413.0239082230124,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_130356689_056.mp4
roundhouse,24782,24824,413.0405751819012,413.74058745523024,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_130356689_057.mp4
roundhouse,24960,25004,416.0072938641052,416.74064005521177,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_130356689_058.mp4
roundhouse,25005,25067,416.75730701410055,417.7906584652053,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_130356689_059.mp4
roundhouse,25319,25438,421.99073210517946,423.974100212945,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_130356689_060.mp4
roundhouse,25439,25488,423.9907671718338,424.80744815738433,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_130356689_061.mp4
roundhouse,26249,26341,437.49100387175065,439.024364089519,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_130356689_062.mp4
roundhouse,26342,26377,439.0410310484078,439.6243746095153,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_130356689_063.mp4
roundhouse,26378,26417,439.6410415684041,440.2910529650668,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_130356689_064.mp4
roundhouse,26418,26456,440.3077199239556,440.9410643617295,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_130356689_065.mp4
roundhouse,26457,26493,440.9577313206182,441.55774184061454,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_130356689_066.mp4
roundhouse,26494,26534,441.5744087995033,442.24108715505474,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_130356689_067.mp4
roundhouse,26535,26576,442.2577541139435,442.9410994283838,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_130356689.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\roundhouse\roundhouse_PXL_20250430_130356689_068.mp4
