label,start,end,start_s,end_s,src,out
hook,0,0,0.0,0.0,/content/drive/MyDrive/RTM-FASS/data/raw_videos/PXL_unknown.mp4,/content/drive/MyDrive/RTM-FASS/data/raw_videos/strikes/hook_PXL_20250430_120111485_001.mp4
uppercut,0,0,0.0,0.0,/content/drive/MyDrive/RTM-FASS/data/raw_videos/PXL_unknown.mp4,/content/drive/MyDrive/RTM-FASS/data/raw_videos/strikes/uppercut_PXL_20250430_120111485_002.mp4
teep,0,0,0.0,0.0,/content/drive/MyDrive/RTM-FASS/data/raw_videos/PXL_unknown.mp4,/content/drive/MyDrive/RTM-FASS/data/raw_videos/strikes/teep_PXL_20250430_120111485_003.mp4
roundhouse,0,0,0.0,0.0,/content/drive/MyDrive/RTM-FASS/data/raw_videos/PXL_unknown.mp4,/content/drive/MyDrive/RTM-FASS/data/raw_videos/strikes/roundhouse_PXL_20250430_120111485_004.mp4
roundhouse,0,0,0.0,0.0,/content/drive/MyDrive/RTM-FASS/data/raw_videos/PXL_unknown.mp4,/content/drive/MyDrive/RTM-FASS/data/raw_videos/strikes/roundhouse_PXL_20250430_124449120_001.mp4
roundhouse,0,0,0.0,0.0,/content/drive/MyDrive/RTM-FASS/data/raw_videos/PXL_unknown.mp4,/content/drive/MyDrive/RTM-FASS/data/raw_videos/strikes/roundhouse_PXL_20250430_124449120_045.mp4
roundhouse,0,0,0.0,0.0,/content/drive/MyDrive/RTM-FASS/data/raw_videos/PXL_unknown.mp4,/content/drive/MyDrive/RTM-FASS/data/raw_videos/strikes/roundhouse_PXL_20250430_124449120_070.mp4
roundhouse,0,0,0.0,0.0,/content/drive/MyDrive/RTM-FASS/data/raw_videos/PXL_unknown.mp4,/content/drive/MyDrive/RTM-FASS/data/raw_videos/strikes/roundhouse_PXL_20250430_124449120_071.mp4
roundhouse,0,0,0.0,0.0,/content/drive/MyDrive/RTM-FASS/data/raw_videos/PXL_unknown.mp4,/content/drive/MyDrive/RTM-FASS/data/raw_videos/strikes/roundhouse_PXL_20250430_124449120_072.mp4
roundhouse,0,0,0.0,0.0,/content/drive/MyDrive/RTM-FASS/data/raw_videos/PXL_unknown.mp4,/content/drive/MyDrive/RTM-FASS/data/raw_videos/strikes/roundhouse_PXL_20250430_124449120_073.mp4
roundhouse,0,0,0.0,0.0,/content/drive/MyDrive/RTM-FASS/data/raw_videos/PXL_unknown.mp4,/content/drive/MyDrive/RTM-FASS/data/raw_videos/strikes/roundhouse_PXL_20250430_124449120_074.mp4
roundhouse,0,0,0.0,0.0,/content/drive/MyDrive/RTM-FASS/data/raw_videos/PXL_unknown.mp4,/content/drive/MyDrive/RTM-FASS/data/raw_videos/strikes/roundhouse_PXL_20250430_124449120_075.mp4
roundhouse,0,0,0.0,0.0,/content/drive/MyDrive/RTM-FASS/data/raw_videos/PXL_unknown.mp4,/content/drive/MyDrive/RTM-FASS/data/raw_videos/strikes/roundhouse_PXL_20250430_124449120_076.mp4
roundhouse,0,0,0.0,0.0,/content/drive/MyDrive/RTM-FASS/data/raw_videos/PXL_unknown.mp4,/content/drive/MyDrive/RTM-FASS/data/raw_videos/strikes/roundhouse_PXL_20250430_124449120_077.mp4
roundhouse,0,0,0.0,0.0,/content/drive/MyDrive/RTM-FASS/data/raw_videos/PXL_unknown.mp4,/content/drive/MyDrive/RTM-FASS/data/raw_videos/strikes/roundhouse_PXL_20250430_124449120_078.mp4
roundhouse,0,0,0.0,0.0,/content/drive/MyDrive/RTM-FASS/data/raw_videos/PXL_unknown.mp4,/content/drive/MyDrive/RTM-FASS/data/raw_videos/strikes/roundhouse_PXL_20250430_124449120_079.mp4
jab,0,0,0.0,0.0,/content/drive/MyDrive/RTM-FASS/data/raw_videos/PXL_unknown.mp4,/content/drive/MyDrive/RTM-FASS/data/raw_videos/strikes/jab_PXL_20250430_122802210_007.mp4
jab,0,0,0.0,0.0,/content/drive/MyDrive/RTM-FASS/data/raw_videos/PXL_unknown.mp4,/content/drive/MyDrive/RTM-FASS/data/raw_videos/strikes/jab_PXL_20250430_122802210_008.mp4
jab,0,0,0.0,0.0,/content/drive/MyDrive/RTM-FASS/data/raw_videos/PXL_unknown.mp4,/content/drive/MyDrive/RTM-FASS/data/raw_videos/strikes/jab_PXL_20250430_122802210_009.mp4
jab,0,0,0.0,0.0,/content/drive/MyDrive/RTM-FASS/data/raw_videos/PXL_unknown.mp4,/content/drive/MyDrive/RTM-FASS/data/raw_videos/strikes/jab_PXL_20250430_122802210_010.mp4
jab,0,0,0.0,0.0,/content/drive/MyDrive/RTM-FASS/data/raw_videos/PXL_unknown.mp4,/content/drive/MyDrive/RTM-FASS/data/raw_videos/strikes/jab_PXL_20250430_122802210_011.mp4
jab,0,0,0.0,0.0,/content/drive/MyDrive/RTM-FASS/data/raw_videos/PXL_unknown.mp4,/content/drive/MyDrive/RTM-FASS/data/raw_videos/strikes/jab_PXL_20250430_122802210_012.mp4
jab,0,0,0.0,0.0,/content/drive/MyDrive/RTM-FASS/data/raw_videos/PXL_unknown.mp4,/content/drive/MyDrive/RTM-FASS/data/raw_videos/strikes/jab_PXL_20250430_122802210_013.mp4
jab,0,0,0.0,0.0,/content/drive/MyDrive/RTM-FASS/data/raw_videos/PXL_unknown.mp4,/content/drive/MyDrive/RTM-FASS/data/raw_videos/strikes/jab_PXL_20250430_122802210_014.mp4
jab,0,0,0.0,0.0,/content/drive/MyDrive/RTM-FASS/data/raw_videos/PXL_unknown.mp4,/content/drive/MyDrive/RTM-FASS/data/raw_videos/strikes/jab_PXL_20250430_122802210_015.mp4
jab,0,0,0.0,0.0,/content/drive/MyDrive/RTM-FASS/data/raw_videos/PXL_unknown.mp4,/content/drive/MyDrive/RTM-FASS/data/raw_videos/strikes/jab_PXL_20250430_122802210_016.mp4
jab,0,0,0.0,0.0,/content/drive/MyDrive/RTM-FASS/data/raw_videos/PXL_unknown.mp4,/content/drive/MyDrive/RTM-FASS/data/raw_videos/strikes/jab_PXL_20250430_122802210_017.mp4
jab,0,0,0.0,0.0,/content/drive/MyDrive/RTM-FASS/data/raw_videos/PXL_unknown.mp4,/content/drive/MyDrive/RTM-FASS/data/raw_videos/strikes/jab_PXL_20250430_122802210_018.mp4
jab,0,0,0.0,0.0,/content/drive/MyDrive/RTM-FASS/data/raw_videos/PXL_unknown.mp4,/content/drive/MyDrive/RTM-FASS/data/raw_videos/strikes/jab_PXL_20250430_122802210_019.mp4
jab,0,0,0.0,0.0,/content/drive/MyDrive/RTM-FASS/data/raw_videos/PXL_unknown.mp4,/content/drive/MyDrive/RTM-FASS/data/raw_videos/strikes/jab_PXL_20250430_122802210_020.mp4
jab,0,0,0.0,0.0,/content/drive/MyDrive/RTM-FASS/data/raw_videos/PXL_unknown.mp4,/content/drive/MyDrive/RTM-FASS/data/raw_videos/strikes/jab_PXL_20250430_122802210_021.mp4
jab,0,0,0.0,0.0,/content/drive/MyDrive/RTM-FASS/data/raw_videos/PXL_unknown.mp4,/content/drive/MyDrive/RTM-FASS/data/raw_videos/strikes/jab_PXL_20250430_122802210_022.mp4
jab,0,0,0.0,0.0,/content/drive/MyDrive/RTM-FASS/data/raw_videos/PXL_unknown.mp4,/content/drive/MyDrive/RTM-FASS/data/raw_videos/strikes/jab_PXL_20250430_122802210_023.mp4
